Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
33,Black Vulture,0.7365414575038948,0.259727626459144,0.15484245118886525,0.8050251256281407,0.057411574,0.055785410102828656
34,Black-and-white Warbler,0.7630257919335295,0.17214271316266883,0.09565412186379928,0.8591549295774648,0.028676936,0.02944638714814943
35,Black-bellied Plover,0.7857596214875079,0.21251325556733827,0.12031700288184438,0.9092558983666061,0.03179274,0.03244988401481841
36,Black-bellied Whistling-Duck,0.7063066181986036,0.2287878787878788,0.1355475763016158,0.7330097087378641,0.059431076,0.06079700862098812
37,Black-billed Cuckoo,0.9989036985748081,0.0,0.0,0.0,0.0010963015,0.0010819513208461726
38,Black-chinned Hummingbird,0.9949800934741215,0.06451612903225806,0.1875,0.03896103896103896,0.004442906,0.005253955614029014
39,Black-crowned Night Heron,0.6980555074721597,0.07001954860494046,0.03652883367328018,0.8418803418803419,0.013501817,0.013701831527195929
40,Black-headed Grosbeak,0.9997114996249495,0.0,0.0,0.0,0.00028850036,0.00045009174947200774
41,Black-headed Gull,0.9998845998499798,0.0,0.0,0.0,0.00011540015,0.000251012706436312
42,Black-necked Stilt,0.7234435404766026,0.07880069190851433,0.04129734085414988,0.8577405857740585,0.013790318,0.012628535816916526
43,Black-throated Blue Warbler,0.9995383993999192,0.0,0.0,0.0,0.0004616006,0.0006405151819409341
44,Black-throated Gray Warbler,0.9998268997749697,0.0,0.0,0.0,0.00017310023,0.00016445660076861823
45,Black-throated Green Warbler,0.7235589406266228,0.061875856667319366,0.0321007720438846,0.8540540540540541,0.010674514,0.010438666343523872
46,Black-whiskered Vireo,0.9992498990248687,0.0,0.0,0.0,0.000750101,0.0006491707925077035
47,Blackburnian Warbler,0.9966533956494144,0.03333333333333333,0.25,0.017857142857142856,0.003231204,0.0038430910916456046
48,Blackpoll Warbler,0.9967110957244244,0.0,0.0,0.0,0.0028273037,0.00334972128933975
49,Blue Grosbeak,0.7102879233743004,0.1415626602838092,0.07882711348057883,0.6934673366834171,0.034446944,0.03388671536890212
50,Blue Jay,0.7421960648548843,0.7390491764980727,0.7288330837461122,0.749555739841251,0.48704633,0.4883235813454281
51,Blue-gray Gnatcatcher,0.7184236339507242,0.3668915412558381,0.24677137870855148,0.7148634984833164,0.11413075,0.1146522175674272
52,Blue-headed Vireo,0.7213663377762392,0.1306930693069307,0.0712603062426384,0.7874186550976139,0.026599735,0.026425579060346916
53,Blue-winged Teal,0.7220010386013502,0.132517104789341,0.07165109034267912,0.8803827751196173,0.024118632,0.023015268497039783
54,Blue-winged Warbler,0.9881137845479199,0.20155038759689922,0.17218543046357615,0.24299065420560748,0.0061739082,0.006232039608073953
55,Boat-tailed Grackle,0.7305406497028446,0.25636942675159236,0.1513157894736842,0.8385416666666666,0.05539207,0.05473808122424956
56,Bobolink,0.9981535975996769,0.0,0.0,0.0,0.0018464024,0.002008101651490496
57,Bonaparte's Gull,0.7322716519531476,0.08336625839589096,0.043821391484942886,0.854251012145749,0.0142519185,0.013286362219990999
58,Brewer's Blackbird,0.9995383993999192,0.0,0.0,0.0,0.0004616006,0.00032891320153723646
59,Bridled Tern,0.9998845998499798,0.0,0.0,0.0,0.00011540015,0.00024235709586954265
